FID	NDVI	Long	Lat	Degree
0	0.3157	345	7295	-24.45
1	0.2743	345	7345	-23.99
2	0.2283	345	7395	-23.54
3	0.4871	345	7445	-23.09
4	0.5231	345	7495	-22.63
5	0.5097	345	7545	-22.18
6	0.4257	345	7595	-21.73
7	0.4305	345	7645	-21.28
8	0.3579	395	7245	-24.9
9	0.4579	395	7295	-24.45
10	0.4543	395	7345	-23.99
11	0.4665	395	7395	-23.54
12	0.5314	395	7445	-23.09
13	0.4979	395	7495	-22.63
14	0.5044	395	7545	-22.18
15	0.5428	395	7595	-21.73
16	0.5311	395	7645	-21.28
17	0.5385	395	7695	-20.82
18	0.4372	395	7745	-20.37
19	0.4039	395	7895	-19.01
20	0.4611	395	7945	-18.56
21	0.4988	395	7995	-18.1
22	0.5368	395	8045	-17.65
23	0.4509	395	8095	-17.2
24	0.1435	395	8145	-16.75
25	0.3373	445	7195	-25.35
26	0.4735	445	7245	-24.9
27	0.4516	445	7295	-24.45
28	0.4013	445	7345	-23.99
29	0.449	445	7395	-23.54
30	0.4165	445	7445	-23.09
31	0.455	445	7495	-22.63
32	0.4755	445	7545	-22.18
33	0.501	445	7595	-21.73
34	0.4523	445	7645	-21.28
35	0.5326	445	7695	-20.82
36	0.572	445	7745	-20.37
37	0.562	445	7795	-19.92
38	0.5851	445	7845	-19.46
39	0.578	445	7895	-19.01
40	0.5525	445	7945	-18.56
41	0.4872	445	7995	-18.1
42	0.4798	445	8045	-17.65
43	0.5099	445	8095	-17.2
44	0.51	445	8145	-16.75
45	0.5213	445	8195	-16.29
46	0.3846	495	7195	-25.35
47	0.4274	495	7245	-24.9
48	0.3354	495	7295	-24.45
49	0.3291	495	7345	-23.99
50	0.4076	495	7395	-23.54
51	0.3544	495	7445	-23.09
52	0.4084	495	7495	-22.63
53	0.4266	495	7545	-22.18
54	0.468	495	7595	-21.73
55	0.4027	495	7645	-21.28
56	0.4386	495	7695	-20.82
57	0.5111	495	7745	-20.37
58	0.5633	495	7795	-19.92
59	0.5583	495	7845	-19.46
60	0.5187	495	7895	-19.01
61	0.5084	495	7945	-18.56
62	0.4357	495	7995	-18.1
63	0.4804	495	8045	-17.65
64	0.494	495	8095	-17.2
65	0.5111	495	8145	-16.75
66	0.4982	495	8195	-16.29
67	0.5203	495	8245	-15.84
68	0.4779	545	7195	-25.35
69	0.4168	545	7245	-24.9
70	0.3417	545	7295	-24.45
71	0.3578	545	7345	-23.99
72	0.3729	545	7395	-23.54
73	0.3833	545	7445	-23.09
74	0.4017	545	7495	-22.63
75	0.4238	545	7545	-22.18
76	0.4289	545	7595	-21.73
77	0.4047	545	7645	-21.28
78	0.3278	545	7695	-20.82
79	0.3864	545	7745	-20.37
80	0.4291	545	7795	-19.92
81	0.4464	545	7845	-19.46
82	0.458	545	7895	-19.01
83	0.4855	545	7945	-18.56
84	0.499	545	7995	-18.1
85	0.4115	545	8045	-17.65
86	0.44	545	8095	-17.2
87	0.4723	545	8145	-16.75
88	0.5405	545	8195	-16.29
89	0.3913	545	8245	-15.84
90	0.4251	595	7195	-25.35
91	0.4831	595	7245	-24.9
92	0.4428	595	7295	-24.45
93	0.4403	595	7345	-23.99
94	0.4056	595	7395	-23.54
95	0.3939	595	7445	-23.09
96	0.3846	595	7495	-22.63
97	0.3985	595	7545	-22.18
98	0.3877	595	7595	-21.73
99	0.3684	595	7645	-21.28
100	0.3887	595	7695	-20.82
101	0.4183	595	7745	-20.37
102	0.4076	595	7795	-19.92
103	0.4431	595	7845	-19.46
104	0.4716	595	7895	-19.01
105	0.4751	595	7945	-18.56
106	0.4975	595	7995	-18.1
107	0.4241	595	8045	-17.65
108	0.4699	595	8095	-17.2
109	0.4683	595	8145	-16.75
110	0.4873	595	8195	-16.29
111	0.4974	595	8245	-15.84
112	0.3503	645	7195	-25.35
113	0.5713	645	7245	-24.9
114	0.4196	645	7295	-24.45
115	0.4294	645	7345	-23.99
116	0.4919	645	7395	-23.54
117	0.4605	645	7445	-23.09
118	0.4276	645	7495	-22.63
119	0.4177	645	7545	-22.18
120	0.3877	645	7595	-21.73
121	0.3878	645	7645	-21.28
122	0.4194	645	7695	-20.82
123	0.4237	645	7745	-20.37
124	0.4422	645	7795	-19.92
125	0.4392	645	7845	-19.46
126	0.4496	645	7895	-19.01
127	0.4526	645	7945	-18.56
128	0.4638	645	7995	-18.1
129	0.4179	645	8045	-17.65
130	0.416	645	8095	-17.2
131	0.4763	645	8145	-16.75
132	0.5054	645	8195	-16.29
133	0.4245	645	8245	-15.84
134	0.4381	645	8295	-15.39
135	0.385	695	7195	-25.35
136	0.6562	695	7245	-24.9
137	0.6652	695	7295	-24.45
138	0.6079	695	7345	-23.99
139	0.6454	695	7395	-23.54
140	0.5416	695	7445	-23.09
141	0.5222	695	7495	-22.63
142	0.5581	695	7545	-22.18
143	0.443	695	7595	-21.73
144	0.452	695	7645	-21.28
145	0.4651	695	7695	-20.82
146	0.453	695	7745	-20.37
147	0.4736	695	7795	-19.92
148	0.5017	695	7845	-19.46
149	0.4525	695	7895	-19.01
150	0.4431	695	7945	-18.56
151	0.436	695	7995	-18.1
152	0.425	695	8045	-17.65
153	0.3803	695	8095	-17.2
154	0.4096	695	8145	-16.75
155	0.5517	695	8195	-16.29
156	0.4321	695	8245	-15.84
157	0.4776	695	8295	-15.39
158	0.4109	745	7245	-24.9
159	0.575	745	7295	-24.45
160	0.6491	745	7345	-23.99
161	0.6507	745	7395	-23.54
162	0.6328	745	7445	-23.09
163	0.6373	745	7495	-22.63
164	0.6931	745	7545	-22.18
165	0.6541	745	7595	-21.73
166	0.636	745	7645	-21.28
167	0.6146	745	7695	-20.82
168	0.535	745	7745	-20.37
169	0.5063	745	7795	-19.92
170	0.4658	745	7845	-19.46
171	0.3896	745	7895	-19.01
172	0.3972	745	7945	-18.56
173	0.4027	745	7995	-18.1
174	0.4196	745	8045	-17.65
175	0.4415	745	8095	-17.2
176	0.4348	745	8145	-16.75
177	0.4915	745	8195	-16.29
178	0.5143	745	8245	-15.84
179	0.5313	745	8295	-15.39
180	0.4304	745	8345	-14.93
181	0.3843	795	7395	-23.54
182	0.5285	795	7445	-23.09
183	0.5749	795	7495	-22.63
184	0.6292	795	7545	-22.18
185	0.6471	795	7595	-21.73
186	0.6747	795	7645	-21.28
187	0.676	795	7695	-20.82
188	0.666	795	7745	-20.37
189	0.6258	795	7795	-19.92
190	0.5475	795	7845	-19.46
191	0.542	795	7895	-19.01
192	0.4683	795	7945	-18.56
193	0.405	795	7995	-18.1
194	0.4135	795	8045	-17.65
195	0.3824	795	8095	-17.2
196	0.423	795	8145	-16.75
197	0.4489	795	8195	-16.29
198	0.5342	795	8245	-15.84
199	0.5206	795	8295	-15.39
200	0.4808	795	8345	-14.93
201	0.4643	795	8395	-14.48
202	0.372	795	8445	-14.03
203	0.4883	845	7595	-21.73
204	0.6142	845	7645	-21.28
205	0.6547	845	7695	-20.82
206	0.6911	845	7745	-20.37
207	0.6599	845	7795	-19.92
208	0.6398	845	7845	-19.46
209	0.5795	845	7895	-19.01
210	0.5202	845	7945	-18.56
211	0.437	845	7995	-18.1
212	0.4399	845	8045	-17.65
213	0.3882	845	8095	-17.2
214	0.3925	845	8145	-16.75
215	0.4381	845	8195	-16.29
216	0.524	845	8245	-15.84
217	0.5359	845	8295	-15.39
218	0.536	845	8345	-14.93
219	0.5925	845	8395	-14.48
220	0.6959	845	8445	-14.03
221	0.5963	845	8495	-13.57
222	0.5394	895	7745	-20.37
223	0.6424	895	7795	-19.92
224	0.666	895	7845	-19.46
225	0.6592	895	7895	-19.01
226	0.6538	895	7945	-18.56
227	0.6197	895	7995	-18.1
228	0.5361	895	8045	-17.65
229	0.5107	895	8095	-17.2
230	0.494	895	8145	-16.75
231	0.4857	895	8195	-16.29
232	0.441	895	8245	-15.84
233	0.4464	895	8295	-15.39
234	0.4978	895	8345	-14.93
235	0.6036	895	8395	-14.48
236	0.7532	895	8445	-14.03
237	0.6558	895	8495	-13.57
238	0.394	895	8545	-13.12
239	0.4089	945	7845	-19.46
240	0.5303	945	7895	-19.01
241	0.5892	945	7945	-18.56
242	0.6331	945	7995	-18.1
243	0.6354	945	8045	-17.65
244	0.609	945	8095	-17.2
245	0.5766	945	8145	-16.75
246	0.5628	945	8195	-16.29
247	0.501	945	8245	-15.84
248	0.4829	945	8295	-15.39
249	0.537	945	8345	-14.93
250	0.6406	945	8395	-14.48
